Aa,Ad,Ba,Bd,s1,s2,p
0,0,1,0,0,1,0.081484656431582
0,0,1,0,0,2,0.05228252688566806
0,0,1,0,0,3,0.02987372088634854
0,0,1,0,1,0,0.10519507763038688
0,0,1,0,1,1,0.13411354709167428
0,0,1,0,1,2,0.08834307042561185
0,0,1,0,1,3,0.0406940568169303
0,0,1,0,2,0,0.06038853686674777
0,0,1,0,2,1,0.09754684141131194
0,0,1,0,2,2,0.06468056069020056
0,0,1,0,2,3,0.03339773738358833
0,0,1,0,3,0,0.030754023341563484
0,0,1,0,3,1,0.04580463031422948
0,0,1,0,3,2,0.03910400537455239
0,0,1,0,3,3,0.01337290489948396
0,0,1,1,0,0,0.09972070534953109
0,0,1,1,0,1,0.10567663628836367
0,0,1,1,0,2,0.06898702519121516
0,0,1,1,0,3,0.042439054040162724
0,0,1,1,1,0,0.10077104414607523
0,0,1,1,1,1,0.13845856466136272
0,0,1,1,1,2,0.0933486191302503
0,0,1,1,1,3,0.04955981520922187
0,0,1,1,2,0,0.050303665630397384
0,0,1,1,2,1,0.08043339525506221
0,0,1,1,2,2,0.05512308862836247
0,0,1,1,2,3,0.03202744712120869
0,0,1,1,3,0,0.019062851887858598
0,0,1,1,3,1,0.029383049420525168
0,0,1,1,3,2,0.025348699833392274
0,0,1,1,3,3,0.009356338207010362
0,0,1,2,0,0,0.11456175976258326
0,0,1,2,0,1,0.13099096486014705
0,0,1,2,0,2,0.0870036523075181
0,0,1,2,0,3,0.057623719607387394
0,0,1,2,1,0,0.09226464524774983
0,0,1,2,1,1,0.13662375544607758
0,0,1,2,1,2,0.09427629879229052
0,0,1,2,1,3,0.05768827956793272
0,0,1,2,2,0,0.04005013430113879
0,0,1,2,2,1,0.06338971646678122
0,0,1,2,2,2,0.044900639766851456
0,0,1,2,2,3,0.029355319924196197
0,0,1,2,3,0,0.01129361620978886
0,0,1,2,3,1,0.01801538577590368
0,0,1,2,3,2,0.015705412629199274
0,0,1,2,3,3,0.006256699334454111
0,0,1,3,0,0,0.12647956187964526
0,0,1,3,0,1,0.15603788068303845
0,0,1,3,0,2,0.10544691838283995
0,0,1,3,0,3,0.07519054350422313
0,0,1,3,1,0,0.08118227469848395
0,0,1,3,1,1,0.12955642469833914
0,0,1,3,1,2,0.09150050528058332
0,0,1,3,1,3,0.0645315115760897
0,0,1,3,2,0,0.03064323856139948
0,0,1,3,2,1,0.04800954156017934
0,0,1,3,2,2,0.03514777652578163
0,0,1,3,2,3,0.025856971385764916
0,0,1,3,3,0,0.006429904439506649
0,0,1,3,3,1,0.010614917159883016
0,0,1,3,3,2,0.009351243276996615
0,0,1,3,3,3,0.004020786387245462
0,0,2,0,0,0,0.06303294631775726
0,0,2,0,0,1,0.08018008050318456
0,0,2,0,0,2,0.06404778635875213
0,0,2,0,0,3,0.051035559410440856
0,0,2,0,1,0,0.07782364501158202
0,0,2,0,1,1,0.12312202044075748
0,0,2,0,1,2,0.10055416672487236
0,0,2,0,1,3,0.06487657890950518
0,0,2,0,2,0,0.04107823392038676
0,0,2,0,2,1,0.08472687027374674
0,0,2,0,2,2,0.07338505305711819
0,0,2,0,2,3,0.054655693238888095
0,0,2,0,3,0,0.0214783901562332
0,0,2,0,3,1,0.03918981855111598
0,0,2,0,3,2,0.04241163583987082
0,0,2,0,3,3,0.018401521285788293
0,0,2,1,0,0,0.07416629142830895
0,0,2,1,0,1,0.10179195823140615
0,0,2,1,0,2,0.08272919749820903
0,0,2,1,0,3,0.07097298877163065
0,0,2,1,1,0,0.07297863682868504
0,0,2,1,1,1,0.12443047203556797
